week,sentiment
1984-02-06/1984-02-12,-0.2787
1984-02-13/1984-02-19,0.1597333333333333
1984-02-20/1984-02-26,0.57955
1984-02-27/1984-03-04,0.33575
1984-03-05/1984-03-11,0.20981999999999998
1984-03-12/1984-03-18,0.4588
1984-03-26/1984-04-01,0.24333333333333332
1984-04-02/1984-04-08,0.305375
1984-04-09/1984-04-15,-0.04686666666666669
1984-04-16/1984-04-22,0.4215
1984-04-23/1984-04-29,0.49274999999999997
1984-04-30/1984-05-06,0.29435
1984-05-07/1984-05-13,0.57955
1984-05-14/1984-05-20,-0.5574
1984-05-21/1984-05-27,0.23626666666666665
1984-05-28/1984-06-03,0.8286
1984-06-04/1984-06-10,0.4588
1984-06-11/1984-06-17,0.36612
1984-06-18/1984-06-24,-0.5574
1984-06-25/1984-07-01,0.6134999999999999
1984-07-02/1984-07-08,0.2294
1984-07-09/1984-07-15,-0.5784
1984-07-16/1984-07-22,0.41183333333333333
1984-07-30/1984-08-05,0.4167
1984-08-06/1984-08-12,0.212925
1984-08-20/1984-08-26,0.11626666666666663
1984-08-27/1984-09-02,0.6436999999999999
1984-09-03/1984-09-09,0.212925
1984-09-10/1984-09-16,0.4143
1984-09-17/1984-09-23,0.49274999999999997
1984-09-24/1984-09-30,-0.08895000000000003
1984-10-01/1984-10-07,0.18897499999999998
1984-10-15/1984-10-21,0.45726666666666665
1984-10-22/1984-10-28,-0.04930000000000001
1984-10-29/1984-11-04,0.4588
1984-11-05/1984-11-11,0.5922666666666666
1984-11-12/1984-11-18,-0.5574
1984-11-19/1984-11-25,0.050449999999999995
1984-11-26/1984-12-02,0.037849999999999995
1984-12-03/1984-12-09,0.6436999999999999
1984-12-17/1984-12-23,-0.04686666666666669
1984-12-24/1984-12-30,0.5495
1984-12-31/1985-01-06,0.35747999999999996
1985-01-07/1985-01-13,-0.03635000000000005
1985-01-14/1985-01-20,0.7003
1985-01-21/1985-01-27,0.10763333333333332
1985-02-04/1985-02-10,0.21689999999999998
1985-02-11/1985-02-17,0.7003
1985-02-18/1985-02-24,0.423575
1985-02-25/1985-03-03,0.04763333333333334
1985-03-04/1985-03-10,0.4588
1985-03-11/1985-03-17,0.251475
1985-03-18/1985-03-24,-0.04530000000000001
1985-04-01/1985-04-07,0.4588
1985-04-08/1985-04-14,0.03646666666666665
1985-04-15/1985-04-21,0.8286
1985-04-22/1985-04-28,-0.032866666666666676
1985-04-29/1985-05-05,0.46975999999999996
1985-05-06/1985-05-12,0.4588
1985-05-13/1985-05-19,-0.01535000000000003
1985-05-20/1985-05-26,0.21689999999999998
1985-05-27/1985-06-02,0.3196
1985-06-03/1985-06-09,0.8286
1985-06-10/1985-06-16,0.12869999999999995
1985-06-17/1985-06-23,-0.5574
1985-06-24/1985-06-30,0.39515
1985-07-01/1985-07-07,0.6134999999999999
1985-07-08/1985-07-14,0.4588
1985-07-15/1985-07-21,-0.1537
1985-07-22/1985-07-28,0.162675
1985-07-29/1985-08-04,0.44015
1985-08-12/1985-08-18,0.07145000000000001
1985-08-19/1985-08-25,-0.024233333333333367
1985-08-26/1985-09-01,0.568225
1985-09-02/1985-09-08,-0.5784
1985-09-09/1985-09-15,0.4697
1985-09-16/1985-09-22,0.62505
1985-09-23/1985-09-29,0.0
1985-09-30/1985-10-06,0.4588
1985-10-07/1985-10-13,-0.21003333333333338
1985-10-21/1985-10-27,0.5594250000000001
1985-10-28/1985-11-03,0.2934333333333333
1985-11-04/1985-11-10,0.7003
1985-11-11/1985-11-17,0.4143
1985-11-18/1985-11-24,-0.01535000000000003
1985-11-25/1985-12-01,0.13272499999999998
1985-12-02/1985-12-08,0.49274999999999997
1985-12-09/1985-12-15,-0.5574
1985-12-16/1985-12-22,-0.5994
1985-12-23/1985-12-29,0.44008
1985-12-30/1986-01-05,0.25
1986-01-06/1986-01-12,-0.04930000000000001
1986-01-13/1986-01-19,0.8286
1986-01-20/1986-01-26,0.39515
1986-01-27/1986-02-02,0.044324999999999976
1986-02-03/1986-02-09,0.5609
1986-02-10/1986-02-16,0.67765
1986-02-17/1986-02-23,-0.05980000000000002
1986-02-24/1986-03-02,-0.5994
1986-03-03/1986-03-09,0.35015
1986-03-17/1986-03-23,0.33564
1986-03-24/1986-03-30,0.4588
1986-03-31/1986-04-06,0.5000333333333333
1986-04-07/1986-04-13,0.2294
1986-04-14/1986-04-20,0.27159999999999995
1986-04-21/1986-04-27,-0.1537
1986-04-28/1986-05-04,0.8286
1986-05-05/1986-05-11,0.57955
1986-05-12/1986-05-18,0.3544
1986-05-19/1986-05-25,-0.5994
1986-05-26/1986-06-01,0.09769999999999998
1986-06-02/1986-06-08,0.568225
1986-06-09/1986-06-15,0.07145000000000001
1986-06-23/1986-06-29,-0.17470000000000002
1986-06-30/1986-07-06,0.5351
1986-07-07/1986-07-13,0.4215
1986-07-14/1986-07-20,-0.032866666666666676
1986-07-21/1986-07-27,0.4588
1986-07-28/1986-08-03,0.232375
1986-08-04/1986-08-10,0.6134999999999999
1986-08-11/1986-08-17,0.3767666666666667
1986-08-25/1986-08-31,-0.2326666666666667
1986-09-01/1986-09-07,0.30998000000000003
1986-09-08/1986-09-14,0.11459999999999998
1986-09-15/1986-09-21,0.23626666666666665
1986-09-29/1986-10-05,0.6436999999999999
1986-10-06/1986-10-12,-0.5574
1986-10-13/1986-10-19,0.7003
1986-10-20/1986-10-26,0.125
1986-10-27/1986-11-02,0.15141666666666664
1986-11-03/1986-11-09,0.5267
1986-11-10/1986-11-16,0.05046666666666666
1986-11-17/1986-11-23,0.4143
1986-11-24/1986-11-30,0.4588
1986-12-01/1986-12-07,0.25
1986-12-08/1986-12-14,0.30998000000000003
1986-12-15/1986-12-21,0.2294
1986-12-22/1986-12-28,0.11459999999999998
1986-12-29/1987-01-04,0.8286
1987-01-05/1987-01-11,0.4215
1987-01-12/1987-01-18,0.27568000000000004
1987-01-19/1987-01-25,-0.04686666666666669
1987-02-02/1987-02-08,-0.12132500000000002
1987-02-09/1987-02-15,0.4814333333333333
